N,B,K,C,actual_N,D,nqs_loss,nn_loss,type,chin_loss,split,nqs_huber_loss,chin_huber_loss
256000000,2740,28383,15100000000,252798416.0,9954485760,2.1143825454836582,2.116562366485596,isoflop,2.340161610551904,test,5.304181407052581e-07,9.992674397689066e-05
256000000,5014,62150,60500000000,252798416.0,39887372800,2.067328666968512,2.02454137802124,isoflop,2.303190149844155,test,2.041407989873839e-05,0.0001284519886619318
512000000,599,3952,944000000,519186432.0,303007744,2.5749698377928087,2.6404452323913574,isoflop,2.5726118687979227,mid,2.46097310031575e-05,2.5525877377985118e-05
512000000,1095,8654,3780000000,519186432.0,1212944640,2.2870425079088967,2.2939155101776123,isoflop,2.416557440203778,test,2.5006856202073884e-06,5.158379477678149e-05
512000000,2003,18908,15100000000,519186432.0,4847708672,2.0931695126239966,2.1188433170318604,isoflop,2.32857430824672,test,1.1690904164587346e-05,9.388586081340328e-05
512000000,3665,41399,60500000000,519186432.0,19421098880,1.9845389096303052,1.985023856163025,isoflop,2.278830996613564,test,2.9849177632887274e-08,0.000137531658411494
1024000000,1473,12693,15100000000,1051646976.0,2393188992,2.1425845928532645,2.162545919418335,isoflop,2.3351705353314625,test,8.773340055800493e-06,7.629872884562111e-05
1024000000,2695,27794,60500000000,1051646976.0,9587818240,1.964490488157947,1.973216772079468,isoflop,2.268611857402549,test,3.932172139696266e-06,0.0001390030375978059
2048000000,1099,8681,15100000000,2060953600.0,1221173632,2.2410844029311345,2.709017276763916,isoflop,2.359535661112082,test,0.00018912608344993893,0.00013762109471270506
2048000000,2011,19007,60500000000,2060953600.0,4892553856,2.005572071960924,2.1012773513793945,isoflop,2.271682790222373,test,4.6116079638766465e-05,7.747545175765452e-05
10000000,384,320000,940000000,10171392.0,15728640000,2.78921837458903,2.632584571838379,isotoken,2.683847647708409,test,5.729531354176026e-05,1.8785363785040087e-05
10000000,768,160000,940000000,10171392.0,15728640000,2.7850197996136155,2.6316826343536377,isotoken,2.683847647708409,test,5.613155619061167e-05,1.9128027809581173e-05
10000000,1536,80000,940000000,10171392.0,15728640000,2.783001003169395,2.637547016143799,isotoken,2.683847647708409,test,5.3180518337611896e-05,1.6902129680079814e-05
10000000,3072,40000,940000000,10171392.0,15728640000,2.7839692144801305,2.64854383468628,isotoken,2.683847647708409,test,4.936769176895267e-05,1.2741461724582293e-05
10000000,6144,20000,940000000,10171392.0,15728640000,2.7970266733104747,2.65970230102539,isotoken,2.683847647708409,test,4.9842750951539953e-05,8.537254726772637e-06
10000000,12288,10000,940000000,10171392.0,15728640000,2.8380228927095814,2.690234899520874,isotoken,2.683847647708409,test,5.297913215592326e-05,1.8770586937881256e-06
10000000,24576,5000,940000000,10171392.0,15728640000,2.932355396011535,2.748302698135376,isotoken,2.683847647708409,test,6.432246905298039e-05,2.323206610422074e-05
10000000,49152,2500,940000000,10171392.0,15728640000,3.0901534939442383,2.8607027530670166,isotoken,2.683847647708409,test,7.665345158785892e-05,6.331585815420555e-05
10000000,98304,1250,940000000,10171392.0,15728640000,3.319260667021487,3.063674211502075,isotoken,2.683847647708409,test,7.962714908658114e-05,0.00013186346403692346
10000000,196608,625,940000000,10171392.0,15728640000,3.626154748937184,3.3924367427825928,isotoken,2.683847647708409,test,6.61243226530625e-05,0.00023379701200832044
10000000,393216,313,950000000,10171392.0,15753805824,4.015981081248233,3.7987852096557617,isotoken,2.6838013499016813,test,5.5100337580042456e-05,0.0003469471302876576
10000000,192,160000,240000000,10171392.0,3932160000,2.797623794746338,2.68318772315979,isotoken,2.738032094369594,test,4.12648755158706e-05,1.9733911998176925e-05
10000000,384,80000,240000000,10171392.0,3932160000,2.7893611589889344,2.689140558242798,isotoken,2.738032094369594,test,3.609094685435571e-05,1.7517801139916358e-05
10000000,768,40000,240000000,10171392.0,3932160000,2.787319027861005,2.695758581161499,isotoken,2.738032094369594,test,3.290056994465535e-05,1.5059806633648643e-05
10000000,1536,20000,240000000,10171392.0,3932160000,2.798923895641466,2.6975772380828857,isotoken,2.738032094369594,test,3.63809693751353e-05,1.438539767738506e-05
10000000,3072,10000,240000000,10171392.0,3932160000,2.839178302622443,2.7222256660461426,isotoken,2.738032094369594,test,4.156487495474054e-05,5.2896433353750165e-06
10000000,6144,5000,240000000,10171392.0,3932160000,2.933100819903892,2.77849555015564,isotoken,2.738032094369594,test,5.365055152350146e-05,1.4170163581772532e-05
10000000,12288,2500,240000000,10171392.0,3932160000,3.090650610260343,2.8825876712799072,isotoken,2.738032094369594,test,6.919323451543042e-05,5.094893908605042e-05
